VarID	VarName	ProgIDReference	IsCopy	VarSize	Father	Ancestor	Redefines	Redefined	iLevel	PIC	szValues	Type	IsField	IsFiller	NumOfChilds	PosInRecord	iUsage	iSign	ResourceType	OccurID	ReadWrite	Precision	Occurs	ScopeID	Implicit_definition	MemoryPositionInRecord	DisplayPositionInRecord	DisplayedSize	RelatedToFileId	FullVarText	SectionType	NameVisibility
186	CA-PAYMENT	1	-1	6	180	156	0	0	7	9(6)		1	-1	0	0	5	1	0	0	200	2	0	1			95	95	6	0		3	0	
187	CA-POLICY-SPECIFIC	1	-1	32400	178	156	0	-1	5	X(32400)		6	-1	0	0	2	1	0	0	201	2	0	1			101	101	32400	0		3	0	
188	CA-ENDOWMENT	1	-1	32400	178	156	187	0	5			0	0	0	8	3	1	0	0	202	2	0	1			101	101	32400	0		3	0	
189	CA-E-WITH-PROFITS	1	-1	1	188	156	0	0	7	X		6	-1	0	0	0	1	0	0	203	2	0	1			101	101	1	0		3	0	
190	CA-E-EQUITIES	1	-1	1	188	156	0	0	7	X		6	-1	0	0	1	1	0	0	204	2	0	1			102	102	1	0		3	0	
191	CA-E-MANAGED-FUND	1	-1	1	188	156	0	0	7	X		6	-1	0	0	2	1	0	0	205	2	0	1			103	103	1	0		3	0	
192	CA-E-FUND-NAME	1	-1	10	188	156	0	0	7	X(10)		6	-1	0	0	3	1	0	0	206	2	0	1			104	104	10	0		3	0	
193	CA-E-TERM	1	-1	2	188	156	0	0	7	99		1	-1	0	0	4	1	0	0	207	2	0	1			114	114	2	0		3	0	
194	CA-E-SUM-ASSURED	1	-1	6	188	156	0	0	7	9(6)		1	-1	0	0	5	1	0	0	208	2	0	1			116	116	6	0		3	0	
195	CA-E-LIFE-ASSURED	1	-1	31	188	156	0	0	7	X(31)		6	-1	0	0	6	1	0	0	209	2	0	1			122	122	31	0		3	0	
196	CA-E-PADDING-DATA	1	-1	32348	188	156	0	0	7	X(32348)		6	-1	0	0	7	1	0	0	210	2	0	1			153	153	32348	0		3	0	
197	CA-HOUSE	1	-1	32400	178	156	187	0	5			0	0	0	7	4	1	0	0	211	2	0	1			101	101	32400	0		3	0	
198	CA-H-PROPERTY-TYPE	1	-1	15	197	156	0	0	7	X(15)		6	-1	0	0	0	1	0	0	212	2	0	1			101	101	15	0		3	0	
199	CA-H-BEDROOMS	1	-1	3	197	156	0	0	7	9(3)		1	-1	0	0	1	1	0	0	213	2	0	1			116	116	3	0		3	0	
200	CA-H-VALUE	1	-1	8	197	156	0	0	7	9(8)		1	-1	0	0	2	1	0	0	214	2	0	1			119	119	8	0		3	0	
201	CA-H-HOUSE-NAME	1	-1	20	197	156	0	0	7	X(20)		6	-1	0	0	3	1	0	0	215	2	0	1			127	127	20	0		3	0	
202	CA-H-HOUSE-NUMBER	1	-1	4	197	156	0	0	7	X(4)		6	-1	0	0	4	1	0	0	216	2	0	1			147	147	4	0		3	0	
203	CA-H-POSTCODE	1	-1	8	197	156	0	0	7	X(8)		6	-1	0	0	5	1	0	0	217	2	0	1			151	151	8	0		3	0	
204	CA-H-FILLER	1	-1	32342	197	156	0	0	7	X(32342)		6	-1	0	0	6	1	0	0	218	2	0	1			159	159	32342	0		3	0	
205	CA-MOTOR	1	-1	32400	178	156	187	0	5			0	0	0	10	5	1	0	0	219	2	0	1			101	101	32400	0		3	0	
206	CA-M-MAKE	1	-1	15	205	156	0	0	7	X(15)		6	-1	0	0	0	1	0	0	220	2	0	1			101	101	15	0		3	0	
207	CA-M-MODEL	1	-1	15	205	156	0	0	7	X(15)		6	-1	0	0	1	1	0	0	221	2	0	1			116	116	15	0		3	0	
208	CA-M-VALUE	1	-1	6	205	156	0	0	7	9(6)		1	-1	0	0	2	1	0	0	222	2	0	1			131	131	6	0		3	0	
209	CA-M-REGNUMBER	1	-1	7	205	156	0	0	7	X(7)		6	-1	0	0	3	1	0	0	223	2	0	1			137	137	7	0		3	0	
210	CA-M-COLOUR	1	-1	8	205	156	0	0	7	X(8)		6	-1	0	0	4	1	0	0	224	2	0	1			144	144	8	0		3	0	
211	CA-M-CC	1	-1	4	205	156	0	0	7	9(4)		1	-1	0	0	5	1	0	0	225	2	0	1			152	152	4	0		3	0	
212	CA-M-MANUFACTURED	1	-1	10	205	156	0	0	7	X(10)		6	-1	0	0	6	1	0	0	226	2	0	1			156	156	10	0		3	0	
213	CA-M-PREMIUM	1	-1	6	205	156	0	0	7	9(6)		1	-1	0	0	7	1	0	0	227	2	0	1			166	166	6	0		3	0	
214	CA-M-ACCIDENTS	1	-1	6	205	156	0	0	7	9(6)		1	-1	0	0	8	1	0	0	228	2	0	1			172	172	6	0		3	0	
215	CA-M-FILLER	1	-1	32323	205	156	0	0	7	X(32323)		6	-1	0	0	9	1	0	0	229	2	0	1			178	178	32323	0		3	0	
216	CA-COMMERCIAL	1	-1	32400	178	156	187	0	5			0	0	0	17	6	1	0	0	230	2	0	1			101	101	32400	0		3	0	
217	CA-B-Address	1	-1	255	216	156	0	0	7	X(255)		6	-1	0	0	0	1	0	0	231	2	0	1			101	101	255	0		3	0	
218	CA-B-Postcode	1	-1	8	216	156	0	0	7	X(8)		6	-1	0	0	1	1	0	0	232	2	0	1			356	356	8	0		3	0	
219	CA-B-Latitude	1	-1	11	216	156	0	0	7	X(11)		6	-1	0	0	2	1	0	0	233	2	0	1			364	364	11	0		3	0	
220	CA-B-Longitude	1	-1	11	216	156	0	0	7	X(11)		6	-1	0	0	3	1	0	0	234	2	0	1			375	375	11	0		3	0	
221	CA-B-Customer	1	-1	255	216	156	0	0	7	X(255)		6	-1	0	0	4	1	0	0	235	2	0	1			386	386	255	0		3	0	
222	CA-B-PropType	1	-1	255	216	156	0	0	7	X(255)		6	-1	0	0	5	1	0	0	236	2	0	1			641	641	255	0		3	0	
223	CA-B-FirePeril	1	-1	4	216	156	0	0	7	9(4)		1	-1	0	0	6	1	0	0	237	2	0	1			896	896	4	0		3	0	
224	CA-B-FirePremium	1	-1	8	216	156	0	0	7	9(8)		1	-1	0	0	7	1	0	0	238	2	0	1			900	900	8	0		3	0	
225	CA-B-CrimePeril	1	-1	4	216	156	0	0	7	9(4)		1	-1	0	0	8	1	0	0	239	2	0	1			908	908	4	0		3	0	
226	CA-B-CrimePremium	1	-1	8	216	156	0	0	7	9(8)		1	-1	0	0	9	1	0	0	240	2	0	1			912	912	8	0		3	0	
227	CA-B-FloodPeril	1	-1	4	216	156	0	0	7	9(4)		1	-1	0	0	10	1	0	0	241	2	0	1			920	920	4	0		3	0	
228	CA-B-FloodPremium	1	-1	8	216	156	0	0	7	9(8)		1	-1	0	0	11	1	0	0	242	2	0	1			924	924	8	0		3	0	
229	CA-B-WeatherPeril	1	-1	4	216	156	0	0	7	9(4)		1	-1	0	0	12	1	0	0	243	2	0	1			932	932	4	0		3	0	
230	CA-B-WeatherPremium	1	-1	8	216	156	0	0	7	9(8)		1	-1	0	0	13	1	0	0	244	2	0	1			936	936	8	0		3	0	
231	CA-B-Status	1	-1	4	216	156	0	0	7	9(4)		1	-1	0	0	14	1	0	0	245	2	0	1			944	944	4	0		3	0	
232	CA-B-RejectReason	1	-1	255	216	156	0	0	7	X(255)		6	-1	0	0	15	1	0	0	246	2	0	1			948	948	255	0		3	0	
233	CA-B-FILLER	1	-1	31298	216	156	0	0	7	X(31298)		6	-1	0	0	16	1	0	0	247	2	0	1			1203	1203	31298	0		3	0	
234	CA-CLAIM	1	-1	32400	178	156	187	0	5			0	0	0	7	7	1	0	0	248	2	0	1			101	101	32400	0		3	0	
235	CA-C-Num	1	-1	10	234	156	0	0	7	9(10)		1	-1	0	0	0	1	0	0	249	2	0	1			101	101	10	0		3	0	
236	CA-C-Date	1	-1	10	234	156	0	0	7	X(10)		6	-1	0	0	1	1	0	0	250	2	0	1			111	111	10	0		3	0	
237	CA-C-Paid	1	-1	8	234	156	0	0	7	9(8)		1	-1	0	0	2	1	0	0	251	2	0	1			121	121	8	0		3	0	
238	CA-C-Value	1	-1	8	234	156	0	0	7	9(8)		1	-1	0	0	3	1	0	0	252	2	0	1			129	129	8	0		3	0	
239	CA-C-Cause	1	-1	255	234	156	0	0	7	X(255)		6	-1	0	0	4	1	0	0	253	2	0	1			137	137	255	0		3	0	
240	CA-C-Observations	1	-1	255	234	156	0	0	7	X(255)		6	-1	0	0	5	1	0	0	254	2	0	1			392	392	255	0		3	0	
241	CA-C-FILLER	1	-1	31854	234	156	0	0	7	X(31854)		6	-1	0	0	6	1	0	0	255	2	0	1			647	647	31854	0		3	0	
